CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,LoyaltyTier,SignupDate,LastModifiedDate,IsActive
13085,Brittany,Ford,kcarter@example.net,(252)403-5771x6381,93971 Kimberly Rapid Apt. 900,Port Bethborough,Minnesota,United Kingdom,Platinum,2019-11-23,2026-07-04 18:27:32.740064,True
13078,Michael,Williams,daniel01@example.org,976.350.7904x62667,78453 Martin Tunnel,Evansview,New York,United Kingdom,Gold,2020-10-05,2026-07-04 18:27:32.740490,True
15362,Laura,Brown,zarellano@example.com,9184837321,08065 Brian Villages Suite 866,West Kathyfort,South Dakota,United Kingdom,Gold,2017-03-06,2026-07-04 18:27:32.740857,True
18102,Laurie,Joseph,reillysabrina@example.com,664.356.9032x3631,226 Alex Forest Apt. 858,Elizabethborough,Virginia,United Kingdom,Gold,2022-07-03,2026-07-04 18:27:32.741258,True
12682,Billy,Reed,vlong@example.org,001-202-521-4286x730,93840 Rivera Orchard,Gonzalesland,Florida,United Kingdom,Gold,2022-01-17,2026-07-04 18:27:32.741659,True
18087,Jessica,Jones,staceysaunders@example.net,4586265264,59356 Howell Common Suite 255,North Kyle,Maine,United Kingdom,Bronze,2021-01-02,2026-07-04 18:27:32.742089,True
13635,Jared,Blair,framirez@example.com,981-337-6592,548 Fox Throughway,North Mary,Utah,United Kingdom,Gold,2026-05-20,2026-07-04 18:27:32.742451,True
14110,Jason,Mejia,tthomas@example.com,+1-518-348-3597x078,395 Sullivan Mission,Wayneville,Rhode Island,United Kingdom,Gold,2018-01-31,2026-07-04 18:27:32.742815,True
12636,John,Robinson,jo29@example.net,(942)993-8762x0440,168 Kevin Glen,Port Matthewville,New Jersey,United Kingdom,Silver,2025-06-26,2026-07-04 18:27:32.743139,True
17519,Angela,Golden,rmartinez@example.com,485.986.9860x5981,58092 Robinson Trafficway,Jeffreyport,Oklahoma,United Kingdom,Gold,2017-01-27,2026-07-04 18:27:32.743507,True
13758,Randall,Hutchinson,timothyaustin@example.net,(427)989-7054,688 Walker Falls Suite 729,Moniquefurt,Rhode Island,United Kingdom,Gold,2018-01-15,2026-07-04 18:27:32.743929,True
12362,Billy,Cline,daniel59@example.com,001-561-792-3376x944,43854 Boyd Rapid,Charlesfort,Iowa,United Kingdom,Silver,2024-08-13,2026-07-04 18:27:32.744277,True
15413,Kaitlyn,Morgan,catherine10@example.net,661-586-1890,9748 Brooks Shoals,Harrisburgh,Colorado,United Kingdom,Silver,2022-03-02,2026-07-04 18:27:32.744637,True
16321,Alyssa,Moses,robertmartin@example.org,001-498-211-7119x00919,328 Brown Circle Suite 628,New Josephport,Kentucky,United Kingdom,Bronze,2025-10-12,2026-07-04 18:27:32.745060,True
17592,Michael,Turner,xsmith@example.org,001-506-602-3802x46792,9774 Horne Hill,West Brian,Vermont,United Kingdom,Bronze,2020-06-15,2026-07-04 18:27:32.745422,True
16167,Jack,Nelson,tylercannon@example.org,001-784-444-0534x790,52968 Mario Cape Suite 578,South Aaronburgh,Oklahoma,United Kingdom,Silver,2016-07-05,2026-07-04 18:27:32.745829,True
17865,Ronald,Jenkins,kellertara@example.net,(481)202-8041,38384 Day Canyon Suite 264,Bennettfurt,Maryland,United Kingdom,Platinum,2020-01-30,2026-07-04 18:27:32.746259,True
13767,Cheryl,Scott,masseypatty@example.org,001-315-339-5400x66068,831 Lee Pike Suite 581,South Douglas,Michigan,United Kingdom,Platinum,2023-09-08,2026-07-04 18:27:32.746671,True
13293,Jesse,Willis,isimmons@example.net,001-856-930-0301,09785 James Oval,Lake Brian,Washington,United Kingdom,Bronze,2022-12-16,2026-07-04 18:27:32.747010,True
17238,Bruce,Rodriguez,scottjason@example.com,8086040997,703 Kim Forges Apt. 000,South Vanessaside,Alaska,United Kingdom,Silver,2022-05-01,2026-07-04 18:27:32.747399,True
16011,Sean,Davis,brian06@example.com,+1-236-612-4809,057 Henderson Creek Apt. 688,Brianborough,Missouri,United Kingdom,Silver,2021-01-05,2026-07-04 18:27:32.747771,True
13916,Joshua,Woods,brittney06@example.net,3363294438,82521 Lindsey Square,Brandonview,Nevada,United Kingdom,Silver,2024-05-05,2026-07-04 18:27:32.748093,True
15712,John,Fritz,robinsonluke@example.net,001-606-222-2987x077,658 Elizabeth Spring Suite 100,Lake Alexandraton,Louisiana,United Kingdom,Silver,2024-09-28,2026-07-04 18:27:32.748488,True
15311,Crystal,Knight,james29@example.com,(925)739-2594,287 Michael Corner,Port Lynnbury,Hawaii,United Kingdom,Bronze,2020-08-29,2026-07-04 18:27:32.748806,True
16329,Sandra,Jones,maryallison@example.com,207-830-2984,37416 Thomas Landing Suite 369,Wheelerfurt,Kentucky,United Kingdom,Bronze,2020-02-25,2026-07-04 18:27:32.749212,True
15461,Robert,Hunter,gonzalezpaul@example.net,303.640.2534x8004,253 Rodgers Fork,Michaelborough,Delaware,United Kingdom,Bronze,2020-01-04,2026-07-04 18:27:32.749613,True
17700,Troy,Boone,campbelldavid@example.net,719.658.1371,511 Edwin Lodge Apt. 553,Richardsonmouth,Missouri,United Kingdom,Bronze,2025-05-10,2026-07-04 18:27:32.750034,True
14911,Amy,Moss,jacob37@example.net,291.961.9295,61061 Jonathan Ridges Suite 705,Frankfurt,Illinois,United Kingdom,Silver,2023-08-11,2026-07-04 18:27:32.750358,True
15998,Louis,Huff,christopher23@example.org,+1-489-580-7120x735,50812 Park Islands,Lake Christopher,South Dakota,United Kingdom,Bronze,2016-08-29,2026-07-04 18:27:32.750702,True
12931,Monica,Peterson,joshua47@example.net,+1-233-847-0456x660,629 Jessica Flat,Stoneview,Pennsylvania,United Kingdom,Platinum,2019-07-22,2026-07-04 18:27:32.751167,True
15614,Eric,King,cscott@example.org,238-948-4839x3252,0565 Lamb Islands,Curryville,Maryland,United Kingdom,Platinum,2019-05-25,2026-07-04 18:27:32.751583,True
12533,Samantha,White,tapiathomas@example.net,001-520-219-2513,8133 Wilcox Corners Suite 647,Estradachester,California,United Kingdom,Gold,2023-07-19,2026-07-04 18:27:32.752021,True
16128,Daniel,Perez,oowens@example.net,+1-395-286-7127,2669 Rodney Drive Apt. 012,Kristinborough,Illinois,United Kingdom,Platinum,2022-11-30,2026-07-04 18:27:32.752395,True
16714,Sarah,Gates,stevenramos@example.org,+1-642-550-2370x2277,6699 Jessica Oval Suite 354,Noahview,Oregon,United Kingdom,Gold,2018-04-24,2026-07-04 18:27:32.752801,True
17984,Eddie,David,randerson@example.org,764-429-2889,5459 Nathan Flats Suite 557,South Ryan,Missouri,United Kingdom,Platinum,2026-05-23,2026-07-04 18:27:32.753160,True
14748,Nicholas,Johnson,pateldennis@example.org,407-892-7173,0817 Perry Tunnel Apt. 922,Jenniferton,New Hampshire,United Kingdom,Silver,2022-10-21,2026-07-04 18:27:32.753569,True
14871,Mark,Rollins,crawfordrandy@example.com,+1-415-243-0166x8663,40496 Randy Ferry Apt. 788,Wolfefurt,New Hampshire,United Kingdom,Silver,2022-11-16,2026-07-04 18:27:32.753975,True
13394,Edward,Johnson,timothy75@example.net,001-910-556-4516x064,49039 Melanie Pines Apt. 206,Collinsburgh,Connecticut,United Kingdom,Silver,2024-09-23,2026-07-04 18:27:32.754335,True
12615,Brandi,Gibson,simsmarcus@example.net,(576)628-8203x645,02113 Joshua Rapid,Odomland,Virginia,United Kingdom,Platinum,2024-09-25,2026-07-04 18:27:32.754743,True
15299,Daniel,Garcia,ojohnson@example.com,541.604.9332,8511 Crane Crossing Apt. 052,Stevemouth,Rhode Island,United Kingdom,Gold,2025-12-16,2026-07-04 18:27:32.755130,True
16393,Michael,Hendrix,jasmine82@example.com,001-437-485-0625,007 Robert Meadow Suite 902,New Lisa,Rhode Island,United Kingdom,Platinum,2018-05-21,2026-07-04 18:27:32.755460,True
14040,Caitlin,Walker,kevingarcia@example.org,904-396-9055x4844,8050 Shannon Flat,Port Lisa,Delaware,United Kingdom,Gold,2017-11-20,2026-07-04 18:27:32.755840,True
15796,Steven,Nunez,hreynolds@example.net,(490)399-6927,797 Benjamin Spurs Suite 734,South Gregory,Pennsylvania,United Kingdom,Silver,2020-11-16,2026-07-04 18:27:32.756196,True
12913,Scott,Jones,felicia75@example.net,+1-680-242-4043x58302,513 Miller Fall,Jensenville,Virginia,United Kingdom,Gold,2018-02-07,2026-07-04 18:27:32.756550,True
15091,Steven,Fuentes,johnsontracy@example.org,670.683.3882x1616,03387 Robinson Forks Apt. 807,East Michaelchester,Indiana,United Kingdom,Platinum,2023-01-12,2026-07-04 18:27:32.756967,True
15061,Breanna,Joseph,berryrichard@example.com,001-502-839-9123,5743 Faith Dale,South Carrieburgh,Arkansas,United Kingdom,Bronze,2025-05-27,2026-07-04 18:27:32.757358,True
14292,Ronald,Peterson,david91@example.net,873-418-3951x491,345 Garrison Corners Apt. 142,Weisschester,Washington,United Kingdom,Bronze,2026-05-10,2026-07-04 18:27:32.757741,True
14341,Jessica,Davis,deborahcampos@example.org,5124740810,96939 Brian Mountain,Rioshaven,New Hampshire,United Kingdom,Silver,2018-08-23,2026-07-04 18:27:32.758199,True
17804,Natalie,Robles,pachecojared@example.net,(838)660-6881,28429 Torres Prairie Apt. 287,Hernandezmouth,Montana,United Kingdom,Platinum,2025-10-04,2026-07-04 18:27:32.758631,True
14156,Bailey,Nelson,edward03@example.com,+1-273-565-8760x36879,05006 Morales Islands,Katherineville,Mississippi,United Kingdom,Gold,2023-01-26,2026-07-04 18:27:32.758980,True
13599,Rodney,Contreras,qclark@example.com,+1-593-803-7612x9536,8215 Brown Radial,South Patriciaport,Minnesota,United Kingdom,Platinum,2021-04-21,2026-07-04 18:27:32.759359,True
13768,Jared,Bell,iholland@example.net,9502030316,7585 Ann Ville Apt. 700,West Scott,Nebraska,United Kingdom,Gold,2021-09-21,2026-07-04 18:27:32.759712,True
17641,David,Garcia,alexandriasmith@example.com,(987)623-5324x321,0257 Adkins Unions,North David,North Dakota,United Kingdom,Silver,2018-01-18,2026-07-04 18:27:32.760120,True
17063,Justin,Kirby,victoria37@example.net,(682)390-3179x561,02297 Kimberly Path,Lake Kevinborough,Utah,United Kingdom,Platinum,2025-08-09,2026-07-04 18:27:32.760445,True
13545,Sarah,Wood,stewartjohnny@example.com,574.525.5195x65092,492 Danielle Circles,Mejiamouth,Wisconsin,United Kingdom,Gold,2016-07-22,2026-07-04 18:27:32.760854,True
